"";"ntree";"mtry";"accuracy"
"1";100;86;0,833333333333333
"2";200;86;0,875
"3";300;86;0,791666666666667
"4";400;86;0,791666666666667
"5";500;86;0,875
"6";100;1003;0,75
"7";200;1003;0,833333333333333
"8";300;1003;0,833333333333333
"9";400;1003;0,791666666666667
"10";500;1003;0,833333333333333
"11";100;1920;0,916666666666667
"12";200;1920;0,75
"13";300;1920;0,833333333333333
"14";400;1920;0,875
"15";500;1920;0,708333333333333
"16";100;2837;0,75
"17";200;2837;0,75
"18";300;2837;0,833333333333333
"19";400;2837;0,875
"20";500;2837;0,708333333333333
"21";100;3754;0,833333333333333
"22";200;3754;0,875
"23";300;3754;0,833333333333333
"24";400;3754;0,791666666666667
"25";500;3754;0,791666666666667
